Code,Religiousness,Satisfaction with life,Emotional attachment to Europe,Emotional attachment to ones country,Feeling of safety walking alone after dark,Trust in politicians,Trust in the police,Trust in the legal system,Perceived state of health services in country nowadays,Perceived state of education in country nowadays,Happiness,Country
AT,3.935837163347728,6.730370977230972,5.029265590753564,7.01908017381532,2.1819623820906715,1.7203331648253726,4.036521973412185,3.52284612500454,5.44441215787609,3.7223089987238223,6.509171944015604,Austria
BG,4.438207778441503,5.855309472976172,5.361416835253571,8.475186935018511,2.2035137149132917,1.4977622518699123,3.133242898023473,1.97278767447087,3.2964764860490683,3.763874297808849,6.187075030276824,Bulgaria
CH,4.236685403509968,7.934114700183572,5.42837876813255,7.595742611404935,1.8119724514575657,3.7370724394455808,4.596385686113484,4.194407977809051,6.71187215430465,6.324523145215316,7.710332340213664,Switzerland
CZ,2.399840934680176,6.549034131881459,6.064641449681175,7.717692047986271,2.1721716196435867,2.4474854366706147,4.018884721934899,3.362401143476028,6.385658437788349,5.677556135772228,6.386785602295295,Czechia
DE,3.2674925456486648,6.219740278028908,5.143666128048991,6.39705270524884,2.4341109854199,2.276112630239447,4.0267756029226005,3.583608918717214,4.987808405015231,3.5564790611499144,6.251517298432183,Germany
EE,3.663421102674328,6.702404046723415,4.299315744658516,7.412748763059885,2.006355362402879,2.433244048580107,4.257625306548162,3.453531486685677,4.936927801038289,5.782653580418978,6.946067006432004,Estonia
ES,2.907786728967184,6.019053886807576,5.535388103992614,6.122741312738418,2.203437250043825,1.3195080690489491,3.5923087174102,2.48410956448119,4.594208717171147,3.522643410180364,6.707451743025695,Spain
FI,3.853809927706418,6.9796433905221305,5.3443887114395645,7.464849101964435,1.9345897403968684,3.1177125640845373,4.631839074177346,4.063144864169675,5.782662881240836,6.721141269985445,7.033469906598995,Finland
FR,4.513986023984663,6.263262833497644,5.516612472126482,7.422147039292139,1.9818141648685907,2.853770323880472,4.266365946674436,3.4686332258542025,5.621414101424633,4.4728876935605815,6.882226958815142,France
GR,5.811594244043233,5.632136231026231,4.982646566094473,8.332859735016537,2.4502297152953147,2.5325918620100656,4.362875954704946,3.9820640938582814,3.651266716737626,3.772101384311512,5.937184553889555,Greece
HR,5.260496981195759,7.111353362602498,5.3752842760231205,7.520789698218339,1.591507687912114,1.49979358305822,3.618848467592547,2.045473615642381,5.103520925490118,4.978520130484823,7.386963670211959,Croatia
HU,3.608176288503013,6.174457560513456,7.000583605662012,7.691333354756992,2.0139146140004915,2.920201806059755,4.179524629741482,3.7438526643010257,3.4783857035677994,4.155530959921998,6.809507112311556,Hungary
IS,3.918972876139701,7.046689774151646,5.020891199587554,7.146619329025807,1.6285648672201072,3.1394806424791444,4.360752950859735,3.5170177381555026,4.34623971990039,5.576849915626791,7.119682448944748,Iceland
IT,4.721306335945756,6.491387155532523,5.336647193504448,7.370962030425721,2.207458323235901,2.2817831043602577,4.643724327796004,3.617497564149837,4.898996104082127,4.629565447255771,6.647224027671365,Italy
LT,4.776064158536815,6.068495786786553,5.11011282871588,7.471123396209133,2.136564193218597,2.3057688993988834,3.971282957284609,3.2615133132655387,3.801944948098385,3.956008300752343,6.917338638526644,Lithuania
ME,5.581602329660242,7.078310012364051,5.513166812912298,7.485598698285426,1.9140557526333757,2.37758061483781,3.4224153871496674,2.713360476640979,3.968525923943541,3.801970526714786,7.495512564767749,Montenegro
MK,6.848603905269574,6.0857329242424,4.621974952732441,6.562232821705038,1.8790450766354247,1.749019571792116,3.209244918836983,2.037828811696057,3.393404253903036,3.568511608835903,6.461641892740651,North Macedonia
NL,4.663488194912511,7.39904466792693,5.060148386793589,6.785548241475524,2.012783011327169,3.235106707561028,4.700261836368174,4.273687591098734,5.975487707481155,5.878948173540665,7.452476843621626,Netherlands
NO,2.863077729070237,7.084148335534537,5.465869968680944,7.768640559951085,1.4684513778190296,2.92453672260239,4.501179539893434,4.404649062002165,6.32707430166641,6.392129229338248,6.946013451871571,Norway
PL,4.62439112940632,5.798721945504078,6.154803446270475,7.493582542927117,2.0165517382485656,1.2942017966299952,3.3584959598892588,2.3732518611327325,2.2803540321346465,3.1674963180809925,6.225290195294499,Poland
PT,5.004164502512368,6.512199933608066,6.243341367408923,8.286384116700187,2.0324959924165307,2.05861773407176,4.274530415334436,2.749993129255474,4.611153993584643,5.197192756998306,6.832655797516758,Portugal
RS,5.374443492781002,4.885752667210409,3.2876304237663074,7.027209283669854,2.227732015295217,1.2061062704696028,2.6440405667904856,2.097374824769364,2.9758954984344537,2.8855956269301504,6.223708181282126,Republic of Serbia
SE,2.292494204274112,6.407876741570703,5.0410383404347385,6.701829988771837,2.290419571001725,2.479491011801524,3.97227211583346,3.3570631597045466,4.153910637419873,4.116818253704189,6.40817152377827,Sweden
SI,4.299987094257304,7.225105241879356,5.533442680312187,7.312726310236226,1.645611899420052,1.7069735172438192,4.110445080196186,2.8060766816951044,4.246555352652835,5.252749743495652,7.3433841648776,Slovenia
SK,5.523594446017197,5.913944679584668,5.6713750468993895,6.988274945911696,2.0619804518822025,2.080694989023465,3.4305488064058407,2.7023582478340886,3.3295150825505804,4.261652781752041,6.34963951189108,Slovakia
